"year","artists","name"
1997,"['Ella Fitzgerald', 'Louis Armstrong']","Cheek To Cheek"
1997,"['Louis Prima', 'Phil Harris', 'Bruce Reitherman']","I Wan'na Be Like You (The Monkey Song)"
1997,"['Cheryl Freeman', 'LaChanze', 'Vaneese Thomas', 'Lillias White', 'Roz Ryan']","The Gospel Truth I / Main Titles - Hercules"
1997,"['Diddy', '112', 'Faith Evans']","I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster"
1997,"['Diddy', 'The Notorious B.I.G.', 'Busta Rhymes']","Victory (feat. The Notorious B.I.G. & Busta Rhymes)"
1997,"['Master P', 'Silkk The Shocker', ""Lil' Gotti""]","Burbons And Lacs"
1997,"['Bone Thugs-N-Harmony', '2Pac']","Thug Luv (feat. 2pac)"
1997,"['Janet Jackson', 'Q-Tip', 'Joni Mitchell']","Got 'Til It's Gone"
1997,"['Diddy', 'Mase']","Can't Nobody Hold Me Down (feat. Mase)"
1997,"['Joan Sebastian', 'Lisa Lopez']","Rumores"
1997,"['Diddy', 'The Notorious B.I.G.', 'JAY-Z']","Young G's (feat. The Notorious B.I.G. & Jay-Z)"
1997,"['Pancho Barraza', 'Mariachi Santa María']","Pero La Recuerdo (Cumbia Santa María)"
1997,"['The Notorious B.I.G.', '112']","Sky's the Limit (feat. 112) - 2014 Remaster"
1997,"['Ella Fitzgerald', 'Louis Armstrong']","They Can't Take That Away From Me"
1997,"['Diddy', 'The Notorious B.I.G.', 'Mase']","Been Around the World (feat. The Notorious B.I.G. & Mase)"
1997,"['Dick Van Dyke', 'The Chimney Sweep Chorus', 'Cast - Mary Poppins']","Step In Time - From ""Mary Poppins""/Soundtrack Version"
1997,"['Fred Hammond', 'Radical For Christ']","No Weapon"
1997,"[""Lil' Kim"", ""Lil' Cease""]","Crush on You (feat. Lil' Cease) - Remix"
1997,"['Mary J. Blige', ""Lil' Kim""]","I Can Love You"
1997,"['B.B. King', 'Tracy Chapman']","The Thrill Is Gone"
1997,"['Diddy', 'The Notorious B.I.G.', ""Lil' Kim"", 'The LOX']","It's All About the Benjamins (feat. The Notorious B.I.G., Lil' Kim & The Lox) - Remix"
1997,"['Mariah Carey', 'Krayzie Bone', 'Wishbone']","Breakdown (feat. Krayzie Bone & Wish Bone)"
1997,"['LSG', 'Coko', 'Faith Evans', 'Missy Elliott']","All the Times (feat. Faith Evans, Coko & Missy Elliott)"
1998,"['Juvenile', 'Lil Wayne', 'Mannie Fresh']","Back That Azz Up"
1998,"['Donny Osmond', 'Chorus - Mulan']","I'll Make a Man Out of You - From ""Mulan""/Soundtrack"
1998,"['2Pac', 'Outlawz']","Hit 'Em Up - Single Version"
1998,"['T-Dre', 'Delux', 'Cali Life Style']","Lost"
1998,"['Big Pun', 'Joe']","Still Not a Player (feat. Joe) - Radio Version"
1998,"['2Pac', 'Talent']","Changes"
1998,"['2Pac', 'Roger', 'Dr. Dre']","California Love - Original Version"
1998,"['2Pac', 'K-Ci & JoJo']","How Do U Want It"
1998,"['Brandy', 'Monica']","The Boy Is Mine"
1998,"['Big Pun', 'Fat Joe']","Twinz (Deep Cover 98) (feat. Fat Joe)"
1998,"['Ms. Lauryn Hill', ""D'Angelo""]","Nothing Even Matters (feat. D'Angelo)"
1998,"['Lea Salonga', 'Harvey Fierstein', 'Matthew Wilder', 'James Hong', 'Jerry Tondo']","A Girl Worth Fighting For - From ""Mulan""/Soundtrack"
